id_origen;fila_original;fecha;nombre;importe_eur;tipo;categoria_principal;subcategoria;contexto;plataforma;viaje_proyecto;recurrente;fiscal_piso_malaga;categoria_original;nota_migracion
mov-000988;989;2024-09-18;Cerveza;-3.00;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000989;990;2024-09-17;Cerveza;-3.00;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000990;991;2024-09-17;Otra cerveza;-2.00;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000991;992;2024-09-17;Pizza;-4.40;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000992;993;2024-09-17;Tasa basura;-35.15;Gasto;Piso Málaga;Impuestos y tasas;Piso Málaga;;;No;Gasto del inmueble - revisar deducibilidad;Utilities;
mov-000993;994;2024-09-16;Gasofa;-15.00;Gasto;Transporte;Coche;Personal;;;No;No aplica;Transporte;
mov-000994;995;2024-09-16;Peaje;-3.00;Gasto;Transporte;Parking y peajes;Personal;;;No;No aplica;Transporte;
mov-000995;996;2024-09-16;Cervezas sevilla;-10.00;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000996;997;2024-09-16;Hamburgueza;-13.50;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-000997;998;2024-09-14;Pickeball;-4.00;Gasto;Ocio;Deporte;Personal;;;No;No aplica;Actividades;
mov-000998;999;2024-09-13;Semillas;-10.63;Gasto;Compras;Hogar y jardín;Personal;;;No;No aplica;Shopping;
mov-000999;1000;2024-09-13;Campero;-5.00;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-001000;1001;2024-09-12;Harina garbanzo;-2.00;Gasto;Comida;Supermercado;Personal;;;No;No aplica;Comida;
mov-001001;1002;2024-09-12;Pinta;-2.50;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-001002;1003;2024-09-11;ICloud;-9.99;Gasto;Suscripciones;Almacenamiento y servicios digitales;Personal;;;Sí;No aplica;Suscripciones;
mov-001003;1004;2024-09-11;Alquiler;619.48;Ingreso;Piso Málaga;Ingreso alquiler;Piso Málaga;Directo/Otro;;No;Ingreso del inmueble;Alquiler;
mov-001004;1005;2024-09-10;Tierra;-21.51;Gasto;Compras;Hogar y jardín;Personal;;;No;No aplica;Shopping;
mov-001005;1006;2024-09-10;Gasofa;-50.00;Gasto;Transporte;Coche;Personal;;;No;No aplica;Transporte;
mov-001006;1007;2024-09-10;Cereales;-4.50;Gasto;Comida;Supermercado;Personal;;;No;No aplica;Comida;
mov-001007;1008;2024-09-10;Cena benal tapas;-6.00;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-001008;1009;2024-09-09;Karts;-15.00;Gasto;Ocio;Deporte;Personal;;;No;No aplica;Actividades;
mov-001009;1010;2024-09-09;Hamburguesa;-15.00;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-001010;1011;2024-09-08;Karts;-14.00;Gasto;Ocio;Deporte;Personal;;;No;No aplica;Actividades;
mov-001011;1012;2024-09-07;Pickeball;-3.50;Gasto;Ocio;Deporte;Personal;;;No;No aplica;Actividades;
mov-001012;1013;2024-09-05;Mangera, abono, y semillas;-99.29;Gasto;Compras;Hogar y jardín;Personal;;;No;No aplica;Shopping;
mov-001013;1014;2024-09-05;iCloud;-9.99;Gasto;Suscripciones;Almacenamiento y servicios digitales;Personal;;;Sí;No aplica;Suscripciones;
mov-001014;1015;2024-09-04;Cerveza;-7.00;Gasto;Comida;Comer fuera;Personal;;;No;No aplica;Comida;
mov-001015;1016;2024-09-04;Alquiler agosto;843.68;Ingreso;Piso Málaga;Ingreso alquiler;Piso Málaga;Directo/Otro;;No;Ingreso del inmueble;Alquiler;
mov-001016;1017;2024-09-04;Pickeball;-3.50;Gasto;Ocio;Deporte;Personal;;;No;No aplica;Actividades;
mov-001017;1018;2024-09-03;Abono;-7.39;Gasto;Compras;Hogar y jardín;Personal;;;No;No aplica;Shopping;
mov-001018;1019;2024-09-02;Llaves duplicado;-6.00;Gasto;Piso Málaga;Mantenimiento y reparaciones;Piso Málaga;;;No;Gasto del inmueble - revisar deducibilidad;Utilities;
mov-001019;1020;2024-09-02;Libros de huerto y de un plumazo;-40.81;Gasto;Compras;Libros y papelería;Personal;;;No;No aplica;Shopping;
mov-001020;1021;2024-09-02;Luz agosto;-73.61;Gasto;Piso Málaga;Electricidad;Piso Málaga;;;Sí;Gasto del inmueble - revisar deducibilidad;Utilities;
mov-001022;1023;2024-09-01;Septiembre alquiler;1200.00;Ingreso;Piso Málaga;Ingreso alquiler;Piso Málaga;Residencial;;Sí;Ingreso del inmueble;Alquiler;
mov-001023;1024;2024-08-28;Teatro Masi;-19.00;Gasto;Ocio;Cultura y eventos;Personal;;;No;No aplica;Actividades;
mov-001024;1025;2024-08-28;Furbo amigos;-1.60;Gasto;Ocio;Deporte;Personal;;;No;No aplica;Actividades;
